dataset_name,subject,side_label_name,pattern_label,window_count,side_coeff,side_entropy,basis_usage_b8,basis_usage_b9,basis_usage_b10,basis_activation_b9,basis_activation_b10,free_l1_dominant_basis,side_dominant_basis,metric,direction,rank,free_l1_b5_minus_b6
IMR,300,Left,left_like_b10_pure_positive,1,41.18928909301758,3.1108380655056495e-07,1.8033120829930027e-10,1.71721623587473e-08,1.0,7.073091410347843e-07,41.18928909301758,5,10,side_coeff,top,1,
IMR,314,Left,left_like_b10_pure_positive,1,38.95344161987305,7.786752092566316e-07,6.110540962112053e-10,4.528051888996743e-08,1.0,1.7638320741752975e-06,38.95344161987305,5,10,side_coeff,top,2,
IMR,391,Left,left_like_b10_pure_positive,1,37.55153274536133,1.5186034344331717e-06,1.347765121728628e-09,8.421584851703302e-08,0.9999998807907104,3.1624342682334827e-06,37.55152893066406,6,10,side_coeff,top,3,
IMR,311,Left,left_like_b10_pure_positive,1,37.38528823852539,1.6080446526914405e-06,1.4780804358238695e-09,8.991271727154526e-08,0.9999998807907104,3.3614128369663376e-06,37.385284423828125,5,10,side_coeff,top,4,
IMR,309,Left,left_like_b10_pure_positive,1,37.26752853393555,1.7054863312469257e-06,1.5885974757878783e-09,9.61870512128371e-08,0.9999998807907104,3.584653768484713e-06,37.26752471923828,5,10,side_coeff,top,5,
IMR,313,Left,left_like_b10_pure_positive,1,37.00202560424805,1.7671774065851689e-06,1.6847496731031695e-09,1.0014048967832424e-07,0.9999998807907104,3.7054010135761928e-06,37.00202178955078,5,10,side_coeff,top,6,
IMR,319,Left,left_like_b10_pure_positive,1,36.66867065429688,2.0808589212062904e-06,2.0996824279251314e-09,1.2049565611960136e-07,0.9999998807907104,4.418415755935712e-06,36.66866683959961,6,10,side_coeff,top,7,
IMR,315,Left,left_like_b10_pure_positive,1,36.38846206665039,2.3491630818288274e-06,2.4830315581425566e-09,1.3806122467485693e-07,0.9999998807907104,5.02383545608609e-06,36.388458251953125,5,10,side_coeff,top,8,
IMR,321,Left,left_like_b10_pure_positive,1,35.9106559753418,2.8207013116581198e-06,3.157092809402684e-09,1.693027087412702e-07,0.9999998807907104,6.079771537770284e-06,35.91065216064453,5,10,side_coeff,top,9,
IMR,312,Left,left_like_b10_pure_positive,1,33.44842529296875,8.654814983107945e-06,1.3997041747870752e-08,5.409324899119383e-07,0.9999994039535522,1.8093340258928947e-05,33.44840621948242,5,10,side_coeff,top,10,
IMR,399,Normal,normal_like_b9_b10_negative,1,-28.775278091430664,0.6529533246216124,0.0022277196403592,0.3355444371700287,0.6622278094291687,-9.655384063720703,-19.05578994750977,5,10,side_coeff,bottom,1,
IMR,275,Normal,normal_like_b9_b10_negative,1,-27.435178756713867,0.6950829488083845,0.0027380250394344,0.4122033417224884,0.5850586295127869,-11.30887222290039,-16.05118751525879,5,10,side_coeff,bottom,2,
