group_id,subject,dataset_name,side_label,side_label_name,dataset_label,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2
IMR:00102:x:group000,00102,IMR,1,Normal,0,-14.949861526489258,14.949861526489258,0.05879766121506691,0.04705427587032318,-0.5085765719413757,0.3994459807872772,-5.891798973083496,0.553499698638916,-8.549485206604004
IMR:00102:x:group001,00102,IMR,1,Normal,0,-21.237871170043945,21.237871170043945,0.08964449167251587,0.018465466797351837,-0.27788153290748596,0.3788659870624542,-7.769242286682129,0.6026685237884521,-13.190746307373047
IMR:00102:x:group002,00102,IMR,1,Normal,0,-16.300859451293945,16.300859451293945,0.06588506698608398,0.0302360188215971,-0.4154146611690521,0.3928952217102051,-6.257482528686523,0.5768688321113586,-9.627964973449707
IMR:00212:x:group003,00212,IMR,0,Left,0,10.418551445007324,10.418551445007324,0.08596125990152359,0.027654405683279037,-0.20370793342590332,0.09594987332820892,-0.7017163038253784,0.8763957619667053,11.323976516723633
IMR:00212:x:group004,00212,IMR,0,Left,0,-0.025101128965616226,0.025101128965616226,0.00011815208563348278,0.347373366355896,-0.008740508928894997,0.28959208726882935,-0.007374792359769344,0.36303454637527466,-0.008985829539597034
IMR:00228:x:group005,00228,IMR,1,Normal,0,-15.76719856262207,15.76719856262207,0.0647018626332283,0.024433214217424393,-0.38524332642555237,0.37405073642730713,-5.897732257843018,0.60151606798172,-9.484223365783691
IMR:00229:x:group006,00229,IMR,1,Normal,0,-13.980097770690918,13.980097770690918,0.050849687308073044,0.03364107757806778,-0.47030556201934814,0.4451863169670105,-6.223748207092285,0.5211725831031799,-7.286043643951416
IMR:00230:x:group007,00230,IMR,1,Normal,0,-14.0778226852417,14.0778226852417,0.05516722425818443,0.034907277673482895,-0.4914184510707855,0.39524397253990173,-5.564174652099609,0.5698486566543579,-8.022228240966797
IMR:00231:x:group008,00231,IMR,1,Normal,0,-14.573141098022461,14.573141098022461,0.05697571113705635,0.031783998012542725,-0.4631927013397217,0.39997878670692444,-5.828947067260742,0.5682371854782104,-8.281001091003418
IMR:00232:x:group009,00232,IMR,1,Normal,0,-17.599655151367188,17.599655151367188,0.0726655125617981,0.018868904560804367,-0.3320862054824829,0.37544283270835876,-6.607664585113525,0.6056882739067078,-10.659904479980469
IMR:00233:x:group010,00233,IMR,1,Normal,0,-21.60434913635254,21.60434913635254,0.09307821094989777,0.00923327635973692,-0.19947892427444458,0.35453885793685913,-7.659581184387207,0.6362278461456299,-13.745288848876953
IMR:00234:x:group011,00234,IMR,1,Normal,0,-12.931931495666504,12.931931495666504,0.04987826198339462,0.042441610246896744,-0.5488519668579102,0.39831650257110596,-5.151001930236816,0.5592418909072876,-7.232077598571777
IMR:00235:x:group000,00235,IMR,1,Normal,0,-11.879844665527344,11.879844665527344,0.03868219628930092,0.045865923166275024,-0.5448800325393677,0.49884989857673645,-5.926259517669678,0.4552841782569885,-5.408705234527588
IMR:00236:x:group012,00236,IMR,1,Normal,0,-18.319135665893555,18.319135665893555,0.07395097613334656,0.016174687072634697,-0.2963062822818756,0.39409762620925903,-7.219527721405029,0.5897276401519775,-10.803300857543945
IMR:00237:x:group013,00237,IMR,1,Normal,0,-21.874929428100586,21.874929428100586,0.09164229780435562,0.008660254999995232,-0.1894424706697464,0.375637412071228,-8.217041969299316,0.6157023310661316,-13.46844482421875
IMR:00238:x:group014,00238,IMR,1,Normal,0,-21.093469619750977,21.093469619750977,0.08554467558860779,0.009289759211242199,-0.19595324993133545,0.3980555832386017,-8.396373748779297,0.5926547050476074,-12.501144409179688
IMR:00239:x:group015,00239,IMR,1,Normal,0,-20.634130477905273,20.634130477905273,0.08039116114377975,0.01025567390024662,-0.21161691844463348,0.42455336451530457,-8.760289192199707,0.5651910305023193,-11.662225723266602
IMR:00240:x:group016,00240,IMR,1,Normal,0,-19.368200302124023,19.368200302124023,0.08169534057378769,0.012632438912987709,-0.24466760456562042,0.36653873324394226,-7.09919548034668,0.6208288073539734,-12.024336814880371
IMR:00241:x:group001,00241,IMR,1,Normal,0,-0.9080607891082764,0.9080607891082764,0.0025928961113095284,0.3007018566131592,-0.2730555534362793,0.31430843472480774,-0.28541117906570435,0.3849896788597107,-0.34959402680397034
IMR:00242:x:group002,00242,IMR,1,Normal,0,-1.3305563926696777,1.3305563926696777,0.03726503252983093,0.04893646016716957,-0.2741268277168274,0.2224830687046051,-1.6998547315597534,0.7285805344581604,0.6434249877929688
IMR:00243:x:group017,00243,IMR,1,Normal,0,-14.888030052185059,14.888030052185059,0.05948679894208908,0.0303470641374588,-0.45180800557136536,0.3865791857242584,-5.755402565002441,0.5830737352371216,-8.680819511413574
IMR:00244:x:group003,00244,IMR,1,Normal,0,-14.664355278015137,14.664355278015137,0.05661335214972496,0.030120760202407837,-0.4417015314102173,0.41013872623443604,-6.014420032501221,0.5597404837608337,-8.208232879638672
IMR:00245:x:group004,00245,IMR,1,Normal,0,-21.383176803588867,21.383176803588867,0.09067495912313461,0.00906266551464796,-0.1937885731458664,0.36640238761901855,-7.8348469734191895,0.6245349049568176,-13.35453987121582
IMR:00246:x:group018,00246,IMR,1,Normal,0,-17.247220993041992,17.247220993041992,0.07097534090280533,0.018299244344234467,-0.3156111240386963,0.37838247418403625,-6.526046276092529,0.6033182144165039,-10.405562400817871
IMR:00247:x:group019,00247,IMR,1,Normal,0,-16.15824317932129,16.15824317932129,0.06412971019744873,0.022819848731160164,-0.3687286674976349,0.3989565968513489,-6.446437835693359,0.5782235860824585,-9.343077659606934
IMR:00248:x:group020,00248,IMR,1,Normal,0,-15.502150535583496,15.502150535583496,0.05771780386567116,0.025001205503940582,-0.38757243752479553,0.439113587141037,-6.807204723358154,0.535885214805603,-8.307373046875
IMR:00249:x:group021,00249,IMR,1,Normal,0,-23.719404220581055,23.719404220581055,0.10279428958892822,0.005520503968000412,-0.13094305992126465,0.3540806770324707,-8.398582458496094,0.6403988599777222,-15.189879417419434
IMR:00250:x:group022,00250,IMR,1,Normal,0,-22.627445220947266,22.627445220947266,0.09517629444599152,0.007047837600111961,-0.15947456657886505,0.3744364380836487,-8.472539901733398,0.61851567029953,-13.995429039001465
IMR:00251:x:group005,00251,IMR,1,Normal,0,-9.353472709655762,9.353472709655762,0.03303048759698868,0.08120251446962357,-0.7595254778862,0.415812224149704,-3.8892881870269775,0.5029852390289307,-4.704658508300781
IMR:00252:x:group023,00252,IMR,1,Normal,0,-13.29913330078125,13.29913330078125,0.050199855118989944,0.0391986146569252,-0.5213075876235962,0.4158185124397278,-5.530025959014893,0.5449828505516052,-7.247799396514893
IMR:00253:x:group024,00253,IMR,0,Left,0,15.7693452835083,15.7693452835083,0.1017913892865181,0.00016260449774563313,0.0025641664396971464,0.0009124057251028717,0.014388040639460087,0.9989249110221863,15.752391815185547
IMR:00254:x:group025,00254,IMR,0,Left,0,6.647091388702393,6.647091388702393,0.04005192965269089,0.024047184735536575,0.1598438322544098,0.04626142978668213,0.30750393867492676,0.9296913743019104,6.17974328994751
IMR:00255:x:group026,00255,IMR,0,Left,0,8.666637420654297,8.666637420654297,0.05447687208652496,0.007411541882902384,0.06423314660787582,0.02011953853070736,0.1743687391281128,0.972468912601471,8.428035736083984
IMR:00256:x:group006,00256,IMR,1,Normal,0,-19.517839431762695,19.517839431762695,0.07778213918209076,0.012836483307182789,-0.2505404055118561,0.40648138523101807,-7.933638572692871,0.580682098865509,-11.333660125732422
IMR:00257:x:group027,00257,IMR,1,Normal,0,-26.4040584564209,26.4040584564209,0.10346183180809021,0.003206550842151046,-0.08466595411300659,0.42813923954963684,-11.30461311340332,0.5686542391777039,-15.014780044555664
IMR:00258:x:group028,00258,IMR,1,Normal,0,-20.906431198120117,20.906431198120117,0.07377153635025024,0.008096018806099892,-0.16925886273384094,0.490230917930603,-10.248978614807129,0.50167316198349,-10.488195419311523
IMR:00259:x:group029,00259,IMR,1,Normal,0,-17.944929122924805,17.944929122924805,0.06318934261798859,0.014295481145381927,-0.25653138756752014,0.4850410223007202,-8.70402717590332,0.5006634593009949,-8.984370231628418
IMR:00260:x:group030,00260,IMR,0,Left,0,19.96997833251953,19.96997833251953,0.12902384996414185,1.7655744159128517e-05,0.00035258481511846185,0.0001606918522156775,0.003209012793377042,0.9998217225074768,19.96641731262207
IMR:00261:x:group031,00261,IMR,0,Left,0,31.874059677124023,31.874059677124023,0.20597195625305176,2.6348619286409303e-08,8.398374689022603e-07,8.943191005528206e-07,2.8505581212812103e-05,0.9999990463256836,31.8740291595459
IMR:00262:x:group032,00262,IMR,0,Left,0,11.15318489074707,11.15318489074707,0.0714246854186058,0.002109599532559514,0.023528752848505974,0.006820022128522396,0.07606496661901474,0.9910703897476196,11.05359172821045
IMR:00263:x:group033,00263,IMR,0,Left,0,18.62253761291504,18.62253761291504,0.12030036002397537,3.7781210266985e-05,0.0007035820162855089,0.00028649342129938304,0.005335234571248293,0.9996757507324219,18.616498947143555
IMR:00264:x:group034,00264,IMR,0,Left,0,16.059934616088867,16.059934616088867,0.10367902368307114,0.00014029443264007568,0.002253119368106127,0.0008217920549213886,0.013197926804423332,0.9990379810333252,16.044485092163086
IMR:00265:x:group035,00265,IMR,0,Left,0,27.737871170043945,27.737871170043945,0.17924289405345917,2.298553312130025e-07,6.375697466864949e-06,5.034677997173276e-06,0.0001396512525388971,0.9999947547912598,27.73772621154785
IMR:00266:x:group036,00266,IMR,0,Left,0,11.550898551940918,11.550898551940918,0.07406790554523468,0.0016845797654241323,0.019458409398794174,0.005955657921731472,0.06879319995641708,0.9923598170280457,11.462647438049316
IMR:00267:x:group037,00267,IMR,1,Normal,0,-14.908906936645508,14.908906936645508,0.05552133917808533,0.02954891510307789,-0.4405420124530792,0.43433043360710144,-6.475391864776611,0.536120593547821,-7.992971897125244
IMR:00268:x:group038,00268,IMR,0,Left,0,30.958412170410156,30.958412170410156,0.20005492866039276,3.971602779984096e-08,1.2295452052057954e-06,1.2239192983543035e-06,3.789059701375663e-05,0.9999986886978149,30.958372116088867
IMR:00269:x:group039,00269,IMR,0,Left,0,27.923738479614258,27.923738479614258,0.18044400215148926,2.150262048417062e-07,6.004335318721132e-06,4.740318217955064e-06,0.0001323674077866599,0.9999949932098389,27.923599243164062
IMR:00270:x:group040,00270,IMR,0,Left,0,22.223045349121094,22.223045349121094,0.14359554648399353,6.173215297167189e-06,0.00013718764239456505,7.011957495706156e-05,0.00155827053822577,0.9999237060546875,22.221349716186523
IMR:00271:x:group007,00271,IMR,1,Normal,0,-19.200895309448242,19.200895309448242,0.07399222254753113,0.013399308547377586,-0.257278710603714,0.42860302329063416,-8.229561805725098,0.5579977035522461,-10.714055061340332
IMR:00272:x:group041,00272,IMR,0,Left,0,14.935276985168457,14.935276985168457,0.09636027365922928,0.0002572708763182163,0.003842411795631051,0.0013009615940973163,0.019430221989750862,0.998441755771637,14.912004470825195
